element,id,geometry,addr:city,addr:postcode,addr:street,amenity,check_date,name,name:kn,emergency,healthcare,addr:housename,designation,addr:district,addr:full,addr:state,level,source,wheelchair,addr:housenumber,name:en,operator,operator:short,operator:type,operator:wikidata,name:ta,addr:country,phone,website,email,healthcare:speciality,addr:floor,opening_hours,note,addr:subdistrict,short_name,branch,mobile,barrier,boundary,name:etymology:wikidata,wikidata,building,fixme:website,religion,alt_name,education,building:levels,description,wikipedia,landuse,old_name,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,roof:levels,roof:shape,toilets:wheelchair,grades,contact:phone,facebook,twitter,type,building:colour,layer,min_level
node,514307734,POINT (77.7183757 12.9853135),"Hoodi, Mahadevapura, Bangalore",560048,Basava Nagar Main Road,school,24-03-2026,Gopalan International Schoool,ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,518624061,POINT (77.7167666 12.9934221),,,Hoodi Main Road,school,,Hoodi High School,ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýýýýýýýý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,671185206,POINT (77.7137961 12.960765),,,,hospital,,Hema Poly Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,975680681,POINT (77.7112689 12.9559302),Bangalore,,Varthur Road,hospital,,Yashomathi Hospitals,,yes,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,986732874,POINT (77.679021 12.985118),,,,school,,Mother Montessori House of Children Pre-school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,986744080,POINT (77.679729 12.977267),,,,school,,LR International School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1066041424,POINT (77.7315275 12.9635071),,,,school,,The Dunmore House Preschool,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1078316967,POINT (77.7476906 12.9625721),,,,school,24-05-2025,Neev School,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1093355147,POINT (77.7250546 12.9781581),,,,school,,Jetking Computer Hardware and Networking,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1093355153,POINT (77.7271089 12.9797287),,,,hospital,,Dr. Batra Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1126186796,POINT (77.748098 12.979677),,,,school,,,,,,Holy Cross School & College,Educational Organization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1150839598,POINT (77.6990468 12.9568527),,560037,Varthur Road,hospital,,New Akshay Mallya Hospital,,,,,,Bengaluru Urban,"93/1, 565, Srinivasa Complex Ring Road Attached To Main Road",Karnataka,0,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1186831410,POINT (77.69923 12.9951629),,,Whitefield Road,hospital,,Presidency Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1365797756,POINT (77.7168891 12.9668213),,560037,,hospital,,Brookefield Hospital(A Unit Of Sanjeevani Hospital),,yes,hospital,,,Bengaluru Urban,"521, 522, Vijayalakshmi Square Itpl Main Road Kundallahall Near Cosmos Mall",Karnataka,,OpenGovernmentData,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1428600902,POINT (77.7087044 12.9573067),"Marathahalli, Bangalore",,Spice Garden Compound Road,hospital,25-08-2024,Tenet diagnostics,,no,,,,,,,,,,"S1,S2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1724416882,POINT (77.6653699 13.0148188),,,,hospital,,Ayur Seva Hospital,,,,,,,,,,,,,Ayur Vaid Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1724997151,POINT (77.6673677 13.0128343),,,,school,17-06-2025,Narayana PU College,,,,,,,,,,,,,Narayana PU College,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1761866934,POINT (77.6760593 13.0207033),,,,hospital,,Koshys Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1769130814,POINT (77.7543636 12.9678471),,,,school,,Kuvempu Smaraka Vidya Kendra School,ýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1848054126,POINT (77.706771 12.9519912),,,,school,,Government School Munekolala,ýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý ýýýýýýýýýýýýýýýýýýýýý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1958294905,POINT (77.6674667 13.0100409),,,,hospital,,"Charan Homeopathy, Ramamurthy Nagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1990864085,POINT (77.74526 12.9746587),,,,school,,Indus Early Learning Centre,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2411618321,POINT (77.7333977 12.9812737),,,,school,,Government School,ýýýýýýýýýýýýýýýýýýýýý ýýýýýýýýýýýý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2474969412,POINT (77.7550286 13.0053531),,,,school,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2475284844,POINT (77.6923101 13.0077936),K.R Puram,,Old Madras Road,hospital,,ESi Hospital,,,hospital,,,,,,,,,,,Employees' State Insurance,ESI,private,Q3595726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3205834304,POINT (77.7026729 12.9596512),,,,school,,,,,,,,,,,,,,,,,,,,ýýýýýýýýýýýý ýýýýýýýýýýýýýýý ýýýýýýýýýýýýýýý,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3268435578,POINT (77.7319773 12.9878709),Bangalore,560066,Whitefield Main Road,hospital,27-06-2025,Cloud Nine Hospital,,,,,,,,,,,,,,,,,,,IN,+91 80 6799 9999,https://cloudninecare.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3270010723,POINT (77.7103746 12.9768424),"Mahadevapura, Bangalore",560048,,hospital,30-10-2025,Telerad Rx Dx Health Care Whitefield,,,hospital,,,,,,,,,,,RxDx,,private,,,,+91-80-49261111;+91-80-40187588,https://rxdx.in/,info@rxdx.in,physiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3541798347,POINT (77.6994832 12.9517397),,,,hospital,,Sanghi Medical Centre (P) Ltd,,,hospital,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3783584167,POINT (77.7011085 12.9568555),,,,police,16-03-2026,Traffic Police Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
