element,id,geometry,addr:city,addr:postcode,addr:street,amenity,check_date,name,name:kn,emergency,healthcare,addr:housename,designation,addr:district,addr:full,addr:state,level,source,wheelchair,addr:housenumber,name:en,operator,operator:short,operator:type,operator:wikidata,name:ta,addr:country,phone,website,email,healthcare:speciality,addr:floor,opening_hours,note,addr:subdistrict,short_name,branch,mobile,barrier,boundary,name:etymology:wikidata,wikidata,building,fixme:website,religion,alt_name,education,building:levels,description,wikipedia,landuse,old_name,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,roof:levels,roof:shape,toilets:wheelchair,grades,contact:phone,facebook,twitter,type,building:colour,layer,min_level
node,671185206,POINT (77.7137961 12.960765),,,,hospital,,Hema Poly Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,975680681,POINT (77.7112689 12.9559302),Bangalore,,Varthur Road,hospital,,Yashomathi Hospitals,,yes,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1093355153,POINT (77.7271089 12.9797287),,,,hospital,,Dr. Batra Clinic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1150839598,POINT (77.6990468 12.9568527),,560037,Varthur Road,hospital,,New Akshay Mallya Hospital,,,,,,Bengaluru Urban,"93/1, 565, Srinivasa Complex Ring Road Attached To Main Road",Karnataka,0,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1186831410,POINT (77.69923 12.9951629),,,Whitefield Road,hospital,,Presidency Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1365797756,POINT (77.7168891 12.9668213),,560037,,hospital,,Brookefield Hospital(A Unit Of Sanjeevani Hospital),,yes,hospital,,,Bengaluru Urban,"521, 522, Vijayalakshmi Square Itpl Main Road Kundallahall Near Cosmos Mall",Karnataka,,OpenGovernmentData,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1428600902,POINT (77.7087044 12.9573067),"Marathahalli, Bangalore",,Spice Garden Compound Road,hospital,2024-08-25,Tenet diagnostics,,no,,,,,,,,,,"S1,S2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1724416882,POINT (77.6653699 13.0148188),,,,hospital,,Ayur Seva Hospital,,,,,,,,,,,,,Ayur Vaid Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1761866934,POINT (77.6760593 13.0207033),,,,hospital,,Koshys Hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,1958294905,POINT (77.6674667 13.0100409),,,,hospital,,"Charan Homeopathy, Ramamurthy Nagar",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,2475284844,POINT (77.6923101 13.0077936),K.R Puram,,Old Madras Road,hospital,,ESi Hospital,,,hospital,,,,,,,,,,,Employees' State Insurance,ESI,private,Q3595726,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3268435578,POINT (77.7319773 12.9878709),Bangalore,560066,Whitefield Main Road,hospital,2025-06-27,Cloud Nine Hospital,,,,,,,,,,,,,,,,,,,IN,+91 80 6799 9999,https://cloudninecare.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3270010723,POINT (77.7103746 12.9768424),"Mahadevapura, Bangalore",560048,,hospital,2025-10-30,Telerad Rx Dx Health Care Whitefield,,,hospital,,,,,,,,,,,RxDx,,private,,,,+91-80-49261111;+91-80-40187588,https://rxdx.in/,info@rxdx.in,physiotherapy,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,3541798347,POINT (77.6994832 12.9517397),,,,hospital,,Sanghi Medical Centre (P) Ltd,,,hospital,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4325331196,POINT (77.7160447 12.9599306),,,,hospital,,SRL Diagnostics,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4445163720,POINT (77.7548105 12.9977711),Bangalore,"560067,","Kk White Castle Apartment, Vijaya Lakshmi Colony, Kumbena Agaraha Main Rd, Kadugodi",hospital,,Sky Diagnostic Centre kumbena agrahara,,,,,,,,,,,,817/744,,,,,,,,08033051529,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4445183934,POINT (77.7033173 13.0158543),Bengaluru,560049,"Near Sathya Sai Lake Side Hospital, 3rd Main, Vinayaka Layout, Old Madras Road, Battarahalli, K.R. Puram, Vidya Nagar, Krishnarajapuram",hospital,,Thyrocare,,,,,,,,,,,,53,,,,,,,,080 6568 0365,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4445660067,POINT (77.689783 12.9891818),Bangalore,560048,"ORR Service Road, Shiva Ganga Layout, B Narayanapura, Mahadevapura",hospital,,Bright Children's Clinic,,,,,,,,,,,,#56/2,,,,,,,,+9178994 22511,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4445986377,POINT (77.6939806 13.0087504),"K.R Puram, Bangalore",560036,Old Madras Road,hospital,,"Sriram Hospital, Bangalore",,yes,,,,Bengaluru Urban,"No. 107 / 2, Nishvasahaa Centre, Opposite Traffic Police Station Road, Old Madras Road, Krishnaparajapuram",Karnataka,,OpenGovernmentData,,"107/2,",,,,,,,,080 2561 0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4445998037,POINT (77.6935975 13.0110115),Bangalore,560036,"3rd Main Road, Old Extension, Krishnarajapuram, Near Indane Gas",hospital,,K R Puram Super Speciality Hospital,,yes,,,,,,,,http://www.bangalorean.co.in/,,#301,,,,,,,,080 2561 7799,https://aaxishospitals.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4446018021,POINT (77.7036425 13.0048396),Bangalore,560036,"Devasandra Main Road, Krishnarajapuram",hospital,,Maithri Nursing Home,,,,,,Bengaluru Urban,"Devasandram Main Road Enterance, Krishnarajapuram",Karnataka,,http://www.bangalorean.co.in/,,,,,,,,,,+918025611928,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4446915481,POINT (77.7461682 12.9593576),Bengaluru,560066,Whitefield Main Road,hospital,,Wellness Ever,,yes,hospital,,,,"Sai Harsha Towers, 2nd floor, Opp Forum Value Mall, Above HDFC Bank,, Whitefield Main Road",,,http://bestofhealthindia.com/,,#183,,,,,,,,095919 89220,https://wellnessever.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4446919794,POINT (77.7419283 12.9566858),Bengaluru,560066,"MCC Tower, Opposite Sigma Tech Park, Varthur Kodi, Varthur Main Rd, Ramagondanahalli, Whitefield",hospital,,Hair Loss Treatment in Bangalore - Hairline International,,yes,hospital,,,,,,,http://www.bangalorean.co.in/,,32,,,,,,,,091488 74972,hairline.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4448000087,POINT (77.6924713 13.0096231),Bangalore,560036,"Nishvasaha Centre, Old Madras Main Road, Opposite-Traffic Police, Station, K R Puram",hospital,,Sri Ram Hospital,,yes,,,,,,,,http://bestofhealthindia.com/,,107/2,,,,,,,,080 2561 0988,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4528847591,POINT (77.6998816 13.0120509),Bangalore,560036,,hospital,,Deepa Hospital,,,,,,Bengaluru Urban,"#27, Old Madras Road",Karnataka,,OpenGovernmentData,yes,,,,,private,,,,,http://www.deepahospital.creativotech.com/,,Gyanecology; Medicine; Maternity; Surgery; Immunisation Facility; Laprascopic Surgery; Endoscopy; Dermatology; Child Health Care; Eye; ENT; OPTHALMOLOGY; Urology; Ultrasound Scan; X- Ray; ECG; Health Check up,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4689872196,POINT (77.7128053 13.0215807),,560049,,hospital,,Sathya Sai Lake Side Ortho Hospital,,,,,,Bengaluru Urban,"Road , Casross Opposite Tc Palya Bus Store Old Madars Road",Karnataka,,OpenGovernmentData,,,Satya Sai,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4690537789,POINT (77.6800412 12.9817167),,560093,,hospital,,Comfort Multispeciality Hospital,,,,,,Bengaluru Urban,"SRR Arcade, C.V. Raman Nagar, Kaggadasapura, Bengaluru",Karnataka,,Local Knowledge,,,Comfort multispeciality hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4782423379,POINT (77.6851595 12.9876335),Bengaluru,560048,DRDO Phase 2 Main Road,hospital,,Dr. Roshni's Tooth Planet Dental Clinic,,yes,,,,,,,,,,#33,,Dr. Roshni Maurya,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,5423028221,POINT (77.7569157 13.0028637),,,,hospital,,Telerad RXDX Kadugodi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6464656077,POINT (77.6979598 13.011214),Bangalore,560036,"Sri Thimappa Complex, Old Madras Road, KR Puram, Below Syndicate Bank",hospital,,Patil Hospital,,yes,,,,,,,,http://www.bangalorean.co.in/,,,,,,,,,,080 2561 3891,,,,,,exact location not correct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6938889541,POINT (77.7051643 12.9551501),,560037,,hospital,,Lions Airport City Hospital,,,,,,Bengaluru Urban,"#103, Munnekolal, Verthur Road, Marthahalli Post",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6944143695,POINT (77.6814736 12.9825937),,560093,,hospital,,Sree Lakshmi Hospital,,,,,,Bengaluru Urban,21st Cross Kaggadasapura Main Road C V Raman Nagar,Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6944290474,POINT (77.7150508 12.9651587),,560037,,hospital,2025-08-05,Aayug Multi Speciality Hospital,,,,,,Bengaluru Urban,"#477, I Main 'B' Block, Aecs Layout,,Kundalahalli",Karnataka,,OpenGovernmentData,,,,,,private,,,,,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6944290475,POINT (77.7002262 12.9568547),,560037,,hospital,2024-12-29,MGA Hospital,,,hospital,,,Bengaluru Urban,"96,Varthur Main Road, Marathahalli",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6945033191,POINT (77.6961802 13.0121705),,560001,,hospital,,"Sri Ramakrishna Hospital, Bengaluru Urban",,,,,,Bengaluru Urban,"Opposite Syndicate Bank, Old Madras Road, Krihnarjapuram",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6945724749,POINT (77.6743939 13.0112166),,560016,,hospital,,Spandana Hospital And Medical Centre,,,,,,Bengaluru Urban,Ramamurthynagar,Karnataka,,OpenGovernmentData,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6947459688,POINT (77.7347061 13.0357404),,560049,,hospital,,S.N. Hospital,,,,,,Bengaluru Urban,"Avalahalli, Virgonagar P.O.",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6947662459,POINT (77.7351701 13.0357169),,560049,,hospital,,Geetha Hospital,,,,,,Bengaluru Urban,Avalahalli Virgonagar Old Madras Road Bangaror,Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6947662464,POINT (77.6971089 13.0080397),,560035,,hospital,,"Suresh Hospital, Bengaluru Urban",,,,,,Bengaluru Urban,"37/, 1st Cross, Devasandra Main Road, K.R.Puram",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6947662469,POINT (77.6948659 13.0088071),,560003,,hospital,,Sri Ram Netralaya and Surgical Centre,,,,,,Bengaluru Urban,"2 1st Floor, Kr Purav",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6947662474,POINT (77.6969567 13.0090854),,560036,,hospital,,"Patil Hospital, Bengaluru Urban",,,,,,Bengaluru Urban,"No. 42-B1, Below Synicate Bank, Sri Thimmappa Complex, Old Madras Road, Krishnarajapuram",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6947662480,POINT (77.6659168 13.011968),,560016,,hospital,,Sri Sai Eye Hospital,,,,,,Bengaluru Urban,"#311, 4B Cross, R.M. Nagar Main Road, Kasthuri Nagar",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6950124287,POINT (77.6771966 13.0113204),,560016,Opposite to bus stop,hospital,,Little Flower Hospital,,,,,,Bengaluru Urban,"No. 101, Tc Palya Road,Raghavendra Nagar,Ram Murthy Nagar Extension",Karnataka,,OpenGovernmentData,yes,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7140653801,POINT (77.6807872 12.9721779),,,,hospital,,Venus MultiSpeciality Hospital,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7202935809,POINT (77.7169887 13.0164321),,560049,,hospital,,Seegehalli Government Hospital,ಸೀಗೇಹಳ್ಳಿ ಸರ್ಕಾರಿ ಆಸ್ಪತ್ರೆ,,,,,Bangalore,"Seegehalli, Virgonagara Post",Karnataka,,OpenGovernmentData,,,,,,,,,,,,,,,,,Bangalore East,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131814,POINT (77.6823734 12.9807257),,560093,,hospital,,Little Flower Hospital,,,,,,Bengaluru Urban,"Nagappareddy Layout, Kaggadasapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131816,POINT (77.7004289 13.006205),,560036,,hospital,,NMPC Hospital,,,,,,Bengaluru Urban,"Ayyappa Nagar, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131818,POINT (77.697197 13.0082031),,560036,,hospital,,R R Hospital,,,,,,Bengaluru Urban,"Devasandra Main Road, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131819,POINT (77.6713322 12.9901305),,560013,,hospital,,Jeevan Hospital,,,,,,Bengaluru Urban,"Udayanagar Extension, Mahadevapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131823,POINT (77.7059531 13.0031618),,560036,,hospital,,Vicky Family Life,,,,,,Bengaluru Urban,"Ayyappa Nagar, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131824,POINT (77.6709989 12.9946786),,560016,,hospital,,Vedam Ayurveda Multi Speciality Hospital,,,,,,Bengaluru Urban,"Udaya Nagar, Mahadevapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131842,POINT (77.6994046 13.0219523),,560036,,hospital,,Health Plus Multi Speciality Hospital,,,,,,Bengaluru Urban,"Sunshine Layout, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131844,POINT (77.671863 12.9966313),,560016,,hospital,,Pragathi Piles Hospital,,,,,,Bengaluru Urban,"Udaya Nagar, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131866,POINT (77.6741439 12.9895049),,560016,,hospital,,Mahaveer Hospitals,,,,,,Bengaluru Urban,"Udaya Nagar, Mahadevapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131884,POINT (77.6747693 13.033219),,560016,,hospital,,Eshawar HospItal,,,,,,Bengaluru Urban,"Punyabhoomi Layout, Kalkere, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131892,POINT (77.675186 12.973637),,560075,,hospital,,Medihope Super Specialty Hospital,,,hospital,,,Bengaluru Urban,"Malleshpalya, New Tippasandra, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131894,POINT (77.676589 12.989869),,560016,,hospital,,Cure N Care Hospital,,,,,,Bengaluru Urban,"Udaya Nagar, Mahadevapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131905,POINT (77.6969464 13.0106539),,560036,,hospital,,Sad Bydya Shala Ayurvedic Hospital,,,,,,Bengaluru Urban,"V B Layout, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131909,POINT (77.697361 13.011115),,560036,,hospital,,Sri Lakshmi Super Speciality Hospital,,,,,,Bengaluru Urban,"Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131920,POINT (77.7128759 13.0031938),,560036,,hospital,,Kids Health Link,,,,,,Bengaluru Urban,"Surya Layout, Ayyappa Nagar, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131923,POINT (77.6757833 12.991561),,560016,,hospital,,Prakruti Hospital,,,,,,Bengaluru Urban,"Udaya Nagar, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572131935,POINT (77.7114153 13.0042616),,560036,,hospital,,Amrutha Healthcare,,,,,,Bengaluru Urban,"Ayyappa Nagar, Krishnarajapura, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,7572526699,POINT (77.6662889 12.9635299),,560017,,hospital,,Jhon's Medical Hospital,,,,,,Bengaluru Urban,"Jyothi Nagar, Bengaluru",Karnataka,,Local Knowledge,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,9841433907,POINT (77.7216631 12.9556074),,,,hospital,2025-06-28,Devi Eye Hospital,,,hospital,,,,,,,,,,,,,,,,,,,,ophthalmology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,10051271572,POINT (77.7305782 12.9563317),,,,hospital,2025-06-29,Siddanth Hospital,,,hospital,,,,,,,,,,,,,,,,,,,,ent,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12500298573,POINT (77.7500478 12.9678752),,,,hospital,2025-07-12,Dr. Agarwal's Eye Hospital,,,hospital,,,,,,,,,,,Dr. Agarwal's Eye Hospital,,private,Q17052044,,,,,,,,,,,,Whitefield,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12651832969,POINT (77.7414284 12.9566829),,,,hospital,2025-03-11,Cloud Nine,,,hospital,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12767981104,POINT (77.7092104 12.980602),,,,hospital,,Narayana Nethralaya,,,,,,,,,,,,,,,,,,,,08066121658,https://www.narayananethralaya.org/,,,,Mo-Sa 08:30-18:00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12767981105,POINT (77.7258334 12.9762006),,,,hospital,,Nethradhama,,,,,,,,,,,,,,,,,,,,080 62646800,https://nethradhama.org/,,,,"Mo-Sa 09:00-20:00,Su 09:00-13:00",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,13821104862,POINT (77.7298427 12.9880628),Bangalore,560066,ITPL Main Road,hospital,,"Healing Hands Clinic - Whitefield, Bengaluru",,,hospital,,,,,,,,,"Zenya Signature, 4th Floor",,,,,,,,,https://www.healinghandsclinic.co.in/bengaluru-location/piles-fistula-hospital-in-whitefield-bengaluru/,,proctology;piles;hernia;fissure;fistula;varicose_veins;pilondal_sinus,,24/7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
