element,id,geometry,addr:city,addr:postcode,addr:street,amenity,check_date,name,name:kn,emergency,healthcare,addr:housename,designation,addr:district,addr:full,addr:state,level,source,wheelchair,addr:housenumber,name:en,operator,operator:short,operator:type,operator:wikidata,name:ta,addr:country,phone,website,email,healthcare:speciality,addr:floor,opening_hours,note,addr:subdistrict,short_name,branch,mobile,barrier,boundary,name:etymology:wikidata,wikidata,building,fixme:website,religion,alt_name,education,building:levels,description,wikipedia,landuse,old_name,payment:cash,payment:credit_cards,payment:debit_cards,payment:mastercard,payment:visa,roof:levels,roof:shape,toilets:wheelchair,grades,contact:phone,facebook,twitter,type,building:colour,layer,min_level
node,3783584167,POINT (77.7011085 12.9568555),,,,police,2026-03-16,Traffic Police Cabin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,4447398385,POINT (77.6675094 12.9588013),Bengalore,560017,"HAL Employees Quarters,Old Airport Road, Near HAL Post Office,Reddypalya",police,2026-02-09,HAL Traffic Police Station,,,,,,,,,0,,yes,D-14/T,,,,,,,,080 2294 3115,NA,,,G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,6991301269,POINT (77.6659393 13.0041876),,,Kempegowda Underpass Road,police,,Ramamurthy Nagar Police Station,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12246090205,POINT (77.6935636 12.9964893),,,,police,2024-10-12,Mahadevapura Traffic Police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
node,12246090206,POINT (77.6936783 12.9964748),,,,police,2024-10-12,Office Of The Assistant Commissioner Whitefield Subdivision,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,136492654,"POLYGON ((77.7571548 12.9943009, 77.7571323 12.9942102, 77.7572055 12.9941929, 77.7572168 12.9942385, 77.7572281 12.9942836, 77.7571548 12.9943009))",,,,police,,Whitefield Traffic Police Station,ಸಂಚಾರ ಪೊಲೀಸ್ ಠಾಣೆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,yes,,,,,,,,,,,,,,,,,,,,,,,,,
way,346857854,"POLYGON ((77.6829008 12.9551356, 77.6829055 12.9550092, 77.682716 12.9550024, 77.6827112 12.9551289, 77.6829008 12.9551356))",,,,police,,HAL Police Station,,,,,,,,,,,,,,Bangalore City Police,,,,,,,,,,,,,,,,,,,,Q4855039,yes,,,,,,,en:Bangalore City Police,,,,,,,,,,,,,,,,,,
way,997867402,"POLYGON ((77.693089 13.008862, 77.6933827 13.0088502, 77.6933692 13.0086869, 77.6933583 13.0084621, 77.6930351 13.0084033, 77.6930286 13.0084844, 77.693089 13.008862))",Bangalore,560036,New Police Station Road,police,,KR Puram Police Station,ಆರಕ್ಷಕ ಠಾಣೆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1088209026,"POLYGON ((77.7508811 12.9755105, 77.7508675 12.9753069, 77.7510216 12.9753001, 77.7511771 12.9752766, 77.7514237 12.9752344, 77.7514244 12.9756506, 77.751379 12.9756153, 77.7513156 12.9755782, 77.7512583 12.9755554, 77.7512043 12.9755412, 77.7511684 12.9755345, 77.7511325 12.9755343, 77.7510871 12.9755098, 77.7510462 12.9754924, 77.7510041 12.9754875, 77.7509714 12.9754918, 77.7508811 12.9755105))",,560066,Whitefield Main Road,police,2025-12-20,Whitefield Police Station -Office of the Deputy Commisionner,,,,,,,,,,,,,,,,,,,,,,Whitefieldbcp@ksp.gov.in,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,080 22434 72,Whitefieldbcp,Whitefieldbcp,,,,
way,1353870716,"POLYGON ((77.6928972 12.9966231, 77.6927155 12.9967023, 77.6927718 12.9970036, 77.6929603 12.99698, 77.6928972 12.9966231))",,,Whitefield Road,police,,Mahadevpura Police Station,ಮಹಾದೇವಪುರ ಅರಕ್ಷಕ ಠಾಣೆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1353870717,"POLYGON ((77.6938215 12.9965987, 77.6937608 12.9963214, 77.6933558 12.9964697, 77.6934129 12.9966635, 77.6938215 12.9965987))",,,,police,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
way,1443406415,"POLYGON ((77.6937193 13.0081904, 77.694068 13.0081564, 77.69384 13.0075527, 77.6935664 13.007652, 77.6937193 13.0081904))","K.R Puram, Bangalore",,Old Madras Road,police,,KR Puram Traffic Police Station,ಸಂಚಾರ ಪೊಲೀಸ್ ಠಾಣೆ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
