element,id,geometry,name,power,generator:method,generator:source,generator:type,location,rating,frequency,voltage,operator,barrier,gas_insulated,name:kn,operator:wikidata,ref,start_date,substation,addr:plot,operator:short,generator:output:electricity,landuse,utility
node,1466488430,POINT (77.6660013 12.9587037),HAL electricity grid,transformer,,,,,,,,,,,,,,,,,,,,
node,3600156305,POINT (77.7277189 12.9964981),,transformer,,,,,,,,,,,,,,,,,,,,
node,3600156312,POINT (77.727912 12.9965295),,transformer,,,,,,,,,,,,,,,,,,,,
node,10892672964,POINT (77.6895767 12.9873675),,transformer,,,,,,,,,,,,,,,,,,,,
node,11197082945,POINT (77.7290748 12.9572491),,transformer,,,,,,,,,,,,,,,,,,,,
node,11197082946,POINT (77.7288991 12.9572752),,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
node,11197082947,POINT (77.7287409 12.9573053),,transformer,,,,,,,,,,,,,,,,,,,,
node,11444019912,POINT (77.7013223 12.9942382),,generator,combustion,diesel,reciprocating_engine,,,,,,,,,,,,,,,,,
node,11832800760,POINT (77.7223438 12.9638505),,transformer,,,,,,,,,,,,,,,,,,,,
node,11832800761,POINT (77.7223331 12.9639302),,transformer,,,,,,,,,,,,,,,,,,,,
node,11932161142,POINT (77.7075715 12.9714229),,transformer,,,,,,,,,,,,,,,,,,,,
node,11932161143,POINT (77.7075725 12.9713624),,transformer,,,,,,,,,,,,,,,,,,,,
node,12050480195,POINT (77.71255 12.9641018),,transformer,,,,,,,,,,,,,,,,,,,,
node,12050492321,POINT (77.7136367 12.9651224),,transformer,,,,,,,,,,,,,,,,,,,,
node,12050492322,POINT (77.7135263 12.9651903),,transformer,,,,,,,,,,,,,,,,,,,,
node,12151542437,POINT (77.7343703 12.951476),,transformer,,,,outdoor,250kVA,,,,,,,,,,,,,,,
node,13164448980,POINT (77.7138734 12.9729164),,generator,combustion,diesel,,,,50,230,,,,,,,,,,,,,
node,13173192516,POINT (77.6931171 12.9791357),,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
node,13407014168,POINT (77.7159329 12.989064),,transformer,,,,,,,,,,,,,,,,,,,,
node,13407014187,POINT (77.7158444 12.9889962),,transformer,,,,,,,,,,,,,,,,,,,,
node,13797762112,POINT (77.7235427 12.978151),,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
node,13807649640,POINT (77.7461001 12.9826688),,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
node,13807649641,POINT (77.7460103 12.9825538),,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
node,14029220094,POINT (77.7126221 12.9678797),,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
node,14053250781,POINT (77.7249264 12.9632604),,transformer,,,,outdoor,,50,,,,,,,,,,,,,,
node,14053250782,POINT (77.7249861 12.9632532),,transformer,,,,outdoor,,50,,,,,,,,,,,,,,
node,14053250783,POINT (77.7249569 12.9632561),,transformer,,,,outdoor,,50,,,,,,,,,,,,,,
node,14157916550,POINT (77.7019198 12.9665244),,transformer,,,,outdoor,,,,BESCOM,,,,,,,,,,,,
way,126705930,"POLYGON ((77.7109267 12.9974419, 77.7109086 12.9964048, 77.710599 12.9964107, 77.710593 12.996106, 77.7105388 12.9949166, 77.7092808 12.9949299, 77.7092767 12.9937599, 77.7091769 12.9930212, 77.7104186 12.9929773, 77.7112063 12.9928337, 77.7121022 12.9926023, 77.7125712 12.9932527, 77.7127711 12.9934151, 77.7131455 12.9937191, 77.7134449 12.9941371, 77.7135156 12.9952121, 77.7135801 12.9955592, 77.7135265 12.9955845, 77.7135955 12.9957272, 77.7137189 12.9958699, 77.7137399 12.9959759, 77.7139428 12.9961512, 77.7139972 12.9967809, 77.7141652 12.9971018, 77.7114984 12.9977921, 77.7109267 12.9974419))",Hoodi Substation,substation,,,,outdoor,1500 MVA,50,400000;220000;66000,KPTCL,fence,no,ýýýýýýýýýýýý,Q17064153,1202002BC,31-03-1995,transmission,,,,,
way,145096012,"POLYGON ((77.7474858 12.9956759, 77.747557 12.9952743, 77.748035 12.9953549, 77.7481546 12.9953751, 77.7480846 12.9957693, 77.7474858 12.9956759))",,substation,,,,,,,,,wall,,,,,,,,,,,
way,181466418,"POLYGON ((77.718102 12.9764206, 77.7181478 12.9771704, 77.7172656 12.977232, 77.7172038 12.976532, 77.7174715 12.9764967, 77.718102 12.9764206))",EPIP Whitefield Substation,substation,,,,outdoor,300 MVA,50,220000;66000,KPTCL,,,,Q17064153,1101002CE,10-01-2014,distribution,132B,,,,
way,279368511,"POLYGON ((77.7275095 12.9960832, 77.7282085 12.9962081, 77.728081 12.9969722, 77.7280417 12.9972078, 77.7273898 12.9970891, 77.7275095 12.9960832))",Hoody Traction,substation,,,,,,,220000,South Western Railway,,,,Q3595518,,,traction,,SWR,,,
way,279472176,"POLYGON ((77.693439 12.9847971, 77.6936804 12.9843339, 77.6942676 12.9845413, 77.6938401 12.9849489, 77.693439 12.9847971))",Bagmane WTC,substation,,,,,,,,,,,,,,,,,,,,
way,279472267,"POLYGON ((77.7035768 12.9889881, 77.7040262 12.988926, 77.7040153 12.9886168, 77.7036273 12.988669, 77.7036153 12.988584, 77.7034408 12.988607, 77.7034687 12.9889135, 77.7035768 12.9889881))",,substation,,,,,,,,,,,,,,,,,,,,
way,280482827,"POLYGON ((77.7549012 13.038065, 77.7545608 13.0379294, 77.7546132 13.037511, 77.7547848 13.0375327, 77.7548777 13.0376923, 77.7549176 13.0378442, 77.7549012 13.038065))",Kondaspura,substation,,,,outdoor,,,66000;11000,KPTCL,,,ýýýýýýýýýýýýýýýýýýýýýýýýýýý,,,,distribution,,,,,
way,347541531,"POLYGON ((77.6645157 12.9776736, 77.6650167 12.9772965, 77.6647431 12.977173, 77.6645287 12.9772636, 77.6643309 12.9774101, 77.6645157 12.9776736))",,substation,,,,,,,,,,,,,,,,,,,,
way,363617608,"POLYGON ((77.6753132 12.9859882, 77.675278 12.9858848, 77.6751007 12.9859253, 77.6745884 12.9860711, 77.6745589 12.9860292, 77.6739581 12.9861848, 77.6741163 12.9866447, 77.6742439 12.9866317, 77.674347 12.9866082, 77.6747875 12.9863255, 77.6753132 12.9859882))",,substation,,,,,,,,,,,,,,,,,,,,
way,577482815,"POLYGON ((77.7152197 12.9700053, 77.7152909 12.9699996, 77.7152792 12.9698614, 77.7152081 12.9698671, 77.7152136 12.9699327, 77.7152197 12.9700053))",,generator,,electricity,,,,,,BESCOM,,,,,,,,,,,,
way,1070977173,"POLYGON ((77.7217215 12.9677604, 77.7216679 12.9676359, 77.7216746 12.9673334, 77.7221239 12.9673719, 77.7220978 12.9677569, 77.7217215 12.9677604))",,substation,,,,,,,,,,,,,,,,,,,,
way,1190032730,"POLYGON ((77.7490371 12.9885397, 77.7490692 12.9885669, 77.7493364 12.9885647, 77.7493331 12.9881811, 77.7490341 12.9881835, 77.7490371 12.9885397))",BMRCL RSS,substation,,,,outdoor,,50,66000,BMRCL,,,,,,,minor_distribution,,,,,
way,1190136202,"POLYGON ((77.7359138 12.9848394, 77.7359051 12.9849988, 77.7371464 12.9849713, 77.7371342 12.9843278, 77.7365483 12.9843159, 77.7363166 12.9843527, 77.7363583 12.9846384, 77.7364187 12.9846205, 77.7364442 12.9847656, 77.7359138 12.9848394))",ITPL,substation,,,,,,,220000,KPTCL,,,,Q17064153,,,transmission,,,,,
way,1217530860,"POLYGON ((77.6705568 12.9884692, 77.6705584 12.9883658, 77.6703684 12.9882523, 77.6703772 12.9884626, 77.6705568 12.9884692))",,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
way,1234104590,"POLYGON ((77.6947103 12.9670354, 77.694701 12.966676, 77.6953407 12.9667792, 77.6952977 12.9671034, 77.6947103 12.9670354))",,substation,,,,,,,,,,,,,,,,,,,,
way,1235966039,"POLYGON ((77.7495158 12.9689271, 77.7495093 12.9688817, 77.749609 12.9688682, 77.7496155 12.9689135, 77.7495158 12.9689271))",,generator,photovoltaic,solar,solar_photovoltaic_panel,roof,,,,,,,,,,,,,,small_installation,,
way,1235966040,"POLYGON ((77.7500688 12.9681545, 77.7500575 12.9680791, 77.7503769 12.9680193, 77.7503929 12.9681007, 77.7500688 12.9681545))",,generator,photovoltaic,solar,solar_photovoltaic_panel,roof,,,,,,,,,,,,,,yes,,
way,1245759287,"POLYGON ((77.7474634 12.9513834, 77.7473302 12.9518575, 77.7475351 12.9520382, 77.7478435 12.9521043, 77.7478955 12.9515284, 77.7474634 12.9513834))",Prestige Tech Forest Substation,substation,,,,outdoor,,,,,,,,,,,minor_distribution,,,,,
way,1256756134,"POLYGON ((77.7261142 12.9894875, 77.7264563 12.989402, 77.726616 12.9897344, 77.7266918 12.9898949, 77.7263285 12.9899891, 77.7261142 12.9894875))",Prestige Shantiniketan Substation,substation,,,,outdoor,,,,,,,,,,,minor_distribution,,,,,
way,1267710988,"POLYGON ((77.6895256 12.9957059, 77.689745 12.9955991, 77.6895511 12.9952211, 77.6893317 12.995328, 77.6895256 12.9957059))",,substation,,,,outdoor,,,,,,,,,,,minor_distribution,,,,,
way,1267728593,"POLYGON ((77.7026785 12.9964037, 77.7026872 12.9965501, 77.7027882 12.9965411, 77.7028882 12.9965321, 77.7028467 12.9963955, 77.7026785 12.9964037))",,substation,,,,outdoor,,,,,,,,,,,minor_distribution,,,,,
way,1268945171,"POLYGON ((77.6925698 12.9848869, 77.6924878 12.9848964, 77.692429 12.9844103, 77.692511 12.9844009, 77.6925657 12.9848528, 77.6925698 12.9848869))",,substation,,,,,,,,,,,,,,,,,,,,
way,1274389151,"POLYGON ((77.7222438 12.9639872, 77.7222636 12.9639895, 77.722616 12.9640308, 77.7225959 12.9636413, 77.7223022 12.9635865, 77.7222438 12.9639872))",Brigade Tech Gardens Brookefield,substation,,,,outdoor,,50,66000;11000,Karnataka Power Transmission Corporation Limited,,,,,,,,,,,industrial,power
way,1281342437,"POLYGON ((77.7067361 12.9689556, 77.7069749 12.9688226, 77.7069288 12.9687441, 77.70669 12.9688771, 77.7067361 12.9689556))",,substation,,,,,,,,,,,,,,,,,,,,
way,1354864310,"POLYGON ((77.7289847 12.9784549, 77.7289861 12.9785549, 77.7298984 12.9785213, 77.7298935 12.9783298, 77.7289847 12.9784549))",,generator,combustion,diesel,,,,,,,,,,,,,,,,,,
way,1359786564,"POLYGON ((77.6858427 13.0053787, 77.6867133 13.0058606, 77.6873536 13.0049277, 77.6867997 13.0046248, 77.6868523 13.0045124, 77.6865045 13.0043209, 77.6858427 13.0053787))",ITI,substation,,,,,,,220000;66000,KPTCL,,,,Q17064153,,,transmission,,,,,
way,1508386877,"POLYGON ((77.7043394 12.9788758, 77.7044857 12.9792638, 77.7051677 12.9790042, 77.7051181 12.9787362, 77.7050873 12.9785693, 77.704923 12.9786367, 77.7043394 12.9788758))",,substation,,,,,,,,,,,,,,,,,,,,
way,1552799966,"POLYGON ((77.7069667 12.9680535, 77.7073771 12.9682939, 77.7076051 12.9685161, 77.7074736 12.9687252, 77.7073073 12.9686102, 77.707269 12.9686583, 77.7072367 12.9686989, 77.7071893 12.9686337, 77.7070472 12.968524, 77.7067857 12.9683855, 77.7069667 12.9680535))",,substation,,,,,,,,,,,,,,,,,,,industrial,
